COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Abert's Towhee,Melozone aberti,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melozone aberti,N
Acadian Flycatcher,Empidonax virescens,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax virescens,N
Acorn Woodpecker,Melanerpes formicivorus,species,Piciformes,Picidae (Woodpeckers),Melanerpes formicivorus,N
Alder Flycatcher,Empidonax alnorum,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax alnorum,N
Allen's Hummingbird,Selasphorus sasin,species,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus sasin,N
Altamira Oriole,Icterus gularis,species,Passeriformes,Icteridae (Troupials and Allies),Icterus gularis,N
Amazon Kingfisher,Chloroceryle amazona,species,Coraciiformes,Alcedinidae (Kingfishers),Chloroceryle amazona,N
American Avocet,Recurvirostra americana,species,Charadriiformes,Recurvirostridae (Stilts and Avocets),Recurvirostra americana,N
American Bittern,Botaurus lentiginosus,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Botaurus lentiginosus,N
American Black Duck,Anas rubripes,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas rubripes,N
American Coot,Fulica americana,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Fulica americana,N
American Crow,Corvus brachyrhynchos,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus brachyrhynchos,N
American Dipper,Cinclus mexicanus,species,Passeriformes,Cinclidae (Dippers),Cinclus mexicanus,N
American Flamingo,Phoenicopterus ruber,species,Phoenicopteriformes,Phoenicopteridae (Flamingos),Phoenicopterus ruber,N
American Golden-Plover,Pluvialis dominica,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis dominica,N
American Goldfinch,Spinus tristis,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Spinus tristis,N
American Kestrel,Falco sparverius,species,Falconiformes,Falconidae (Falcons and Caracaras),Falco sparverius,N
