"COMMON_NAME","SCIENTIFIC_NAME","CATEGORY","order","family","scientific name"
"Wild Turkey","Meleagris gallopavo","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Meleagris gallopavo"
"Common Nighthawk","Chordeiles minor","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Chordeiles minor"
"Turkey Vulture","Cathartes aura","species","Cathartiformes","Cathartidae (New World Vultures)","Cathartes aura"
"Black-capped Chickadee","Poecile atricapillus","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile atricapillus"
"Sandhill Crane","Antigone canadensis","species","Gruiformes","Gruidae (Cranes)","Antigone canadensis"
"Scarlet Tanager","Piranga olivacea","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga olivacea"
"American Redstart","Setophaga ruticilla","species","Passeriformes","Parulidae (New World Warblers)","Setophaga ruticilla"
"Eastern Towhee","Pipilo erythrophthalmus","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Pipilo erythrophthalmus"
"House Wren","Troglodytes aedon","species","Passeriformes","Troglodytidae (Wrens)","Troglodytes aedon"
"Bachman's Sparrow","Peucaea aestivalis","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Peucaea aestivalis"
"Wilson's Phalarope","Phalaropus tricolor","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Phalaropus tricolor"
"Semipalmated Sandpiper","Calidris pusilla","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris pusilla"
"Sora","Porzana carolina","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Porzana carolina"
"Say's Phoebe","Sayornis saya","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis saya"
"Black-necked Stilt","Himantopus mexicanus","species","Charadriiformes","Recurvirostridae (Stilts and Avocets)","Himantopus mexicanus"
"Northern Rough-winged Swallow","Stelgidopteryx serripennis","species","Passeriformes","Hirundinidae (Swallows)","Stelgidopteryx serripennis"
"Barn Swallow","Hirundo rustica","species","Passeriformes","Hirundinidae (Swallows)","Hirundo rustica"
"Brewer's Blackbird","Euphagus cyanocephalus","species","Passeriformes","Icteridae (Troupials and Allies)","Euphagus cyanocephalus"
"Least Sandpiper","Calidris minutilla","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris minutilla"
"Great Egret","Ardea alba","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ardea alba"
"Common Grackle","Quiscalus quiscula","species","Passeriformes","Icteridae (Troupials and Allies)","Quiscalus quiscula"
"White-breasted Nuthatch","Sitta carolinensis","species","Passeriformes","Sittidae (Nuthatches)","Sitta carolinensis"
"Brant","Branta bernicla","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta bernicla"
"Brown-headed Cowbird","Molothrus ater","species","Passeriformes","Icteridae (Troupials and Allies)","Molothrus ater"
"Fish Crow","Corvus ossifragus","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus ossifragus"
"Laughing Gull","Leucophaeus atricilla","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Leucophaeus atricilla"
"Willet","Tringa semipalmata","issf","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Tringa semipalmata"
"Belted Kingfisher","Megaceryle alcyon","species","Coraciiformes","Alcedinidae (Kingfishers)","Megaceryle alcyon"
"White Ibis","Eudocimus albus","species","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Eudocimus albus"
"Spotted Sandpiper","Actitis macularius","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Actitis macularius"
"Common Yellowthroat","Geothlypis trichas","species","Passeriformes","Parulidae (New World Warblers)","Geothlypis trichas"
"Blue Grosbeak","Passerina caerulea","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina caerulea"
"Tree Swallow","Tachycineta bicolor","species","Passeriformes","Hirundinidae (Swallows)","Tachycineta bicolor"
"Tufted Titmouse","Baeolophus bicolor","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Baeolophus bicolor"
"Red-bellied Woodpecker","Melanerpes carolinus","species","Piciformes","Picidae (Woodpeckers)","Melanerpes carolinus"
"Gray Catbird","Dumetella carolinensis","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Dumetella carolinensis"
"Northern Cardinal","Cardinalis cardinalis","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinalis cardinalis"
"Song Sparrow","Melospiza melodia","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Melospiza melodia"
"House Sparrow","Passer domesticus","species","Passeriformes","Passeridae (Old World Sparrows)","Passer domesticus"
"Long-billed Curlew","Numenius americanus","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Numenius americanus"
"European Starling","Sturnus vulgaris","species","Passeriformes","Sturnidae (Starlings)","Sturnus vulgaris"
"Red-winged Blackbird","Agelaius phoeniceus","species","Passeriformes","Icteridae (Troupials and Allies)","Agelaius phoeniceus"
"White-eyed Vireo","Vireo griseus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo griseus"
"Red-shouldered Hawk","Buteo lineatus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo lineatus"
"Red-tailed Hawk","Buteo jamaicensis","issf","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo jamaicensis"
"Cattle Egret","Bubulcus ibis","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Bubulcus ibis"
"Baltimore Oriole","Icterus galbula","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus galbula"
"Dark-eyed Junco","Junco hyemalis","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Junco hyemalis"
"Rose-breasted Grosbeak","Pheucticus ludovicianus","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Pheucticus ludovicianus"
"Yellow-rumped Warbler","Setophaga coronata","issf","Passeriformes","Parulidae (New World Warblers)","Setophaga coronata"
"Black-bellied Plover","Pluvialis squatarola","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Pluvialis squatarola"
"Short-billed Dowitcher","Limnodromus griseus","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Limnodromus griseus"
"Snowy Egret","Egretta thula","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Egretta thula"
"Mottled Duck","Anas fulvigula","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas fulvigula"
"Canada Goose","Branta canadensis","issf","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta canadensis"
"Double-crested Cormorant","Phalacrocorax auritus","species","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Phalacrocorax auritus"
"Brown-headed Nuthatch","Sitta pusilla","species","Passeriformes","Sittidae (Nuthatches)","Sitta pusilla"
"Pileated Woodpecker","Dryocopus pileatus","species","Piciformes","Picidae (Woodpeckers)","Dryocopus pileatus"
"Carolina Wren","Thryothorus ludovicianus","species","Passeriformes","Troglodytidae (Wrens)","Thryothorus ludovicianus"
"Chimney Swift","Chaetura pelagica","species","Caprimulgiformes","Apodidae (Swifts)","Chaetura pelagica"
"Great Blue Heron","Ardea herodias","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ardea herodias"
"Great Crested Flycatcher","Myiarchus crinitus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus crinitus"
"Marbled Godwit","Limosa fedoa","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Limosa fedoa"
"Ruby-crowned Kinglet","Regulus calendula","species","Passeriformes","Regulidae (Kinglets)","Regulus calendula"
"American Goldfinch","Spinus tristis","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Spinus tristis"
"Orange-crowned Warbler","Oreothlypis celata","species","Passeriformes","Parulidae (New World Warblers)","Oreothlypis celata"
"Northern Flicker","Colaptes auratus","issf","Piciformes","Picidae (Woodpeckers)","Colaptes auratus"
"Black-chinned Hummingbird","Archilochus alexandri","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Archilochus alexandri"
"Least Tern","Sternula antillarum","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sternula antillarum"
"Wood Duck","Aix sponsa","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix sponsa"
"White-throated Swift","Aeronautes saxatalis","species","Caprimulgiformes","Apodidae (Swifts)","Aeronautes saxatalis"
"Warbling Vireo","Vireo gilvus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo gilvus"
"Eastern Phoebe","Sayornis phoebe","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis phoebe"
"Eastern Bluebird","Sialia sialis","species","Passeriformes","Turdidae (Thrushes and Allies)","Sialia sialis"
"American Robin","Turdus migratorius","species","Passeriformes","Turdidae (Thrushes and Allies)","Turdus migratorius"
"Black Scoter","Melanitta americana","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Melanitta americana"
"Sanderling","Calidris alba","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris alba"
"Western Meadowlark","Sturnella neglecta","species","Passeriformes","Icteridae (Troupials and Allies)","Sturnella neglecta"
"Northern Mockingbird","Mimus polyglottos","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Mimus polyglottos"
"Lark Sparrow","Chondestes grammacus","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Chondestes grammacus"
"Rock Pigeon","Columba livia","domestic","Columbiformes","Columbidae (Pigeons and Doves)","Columba livia"
"Eurasian Collared-Dove","Streptopelia decaocto","species","Columbiformes","Columbidae (Pigeons and Doves)","Streptopelia decaocto"
"House Finch","Haemorhous mexicanus","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Haemorhous mexicanus"
"Eastern Kingbird","Tyrannus tyrannus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus tyrannus"
"Veery","Catharus fuscescens","species","Passeriformes","Turdidae (Thrushes and Allies)","Catharus fuscescens"
"Chipping Sparrow","Spizella passerina","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Spizella passerina"
"Blue Jay","Cyanocitta cristata","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Cyanocitta cristata"
"Indigo Bunting","Passerina cyanea","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina cyanea"
"Chuck-will's-widow","Antrostomus carolinensis","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Antrostomus carolinensis"
"Pectoral Sandpiper","Calidris melanotos","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris melanotos"
"Swamp Sparrow","Melospiza georgiana","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Melospiza georgiana"
"Ruddy Duck","Oxyura jamaicensis","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Oxyura jamaicensis"
"Great-tailed Grackle","Quiscalus mexicanus","species","Passeriformes","Icteridae (Troupials and Allies)","Quiscalus mexicanus"
"Black Phoebe","Sayornis nigricans","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis nigricans"
"American White Pelican","Pelecanus erythrorhynchos","species","Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus erythrorhynchos"
"Ring-necked Pheasant","Phasianus colchicus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Phasianus colchicus"
"Ring-billed Gull","Larus delawarensis","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus delawarensis"
"Golden-crowned Kinglet","Regulus satrapa","species","Passeriformes","Regulidae (Kinglets)","Regulus satrapa"
"Caspian Tern","Hydroprogne caspia","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Hydroprogne caspia"
"Wood Stork","Mycteria americana","species","Ciconiiformes","Ciconiidae (Storks)","Mycteria americana"
"Red-eyed Vireo","Vireo olivaceus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo olivaceus"
"Killdeer","Charadrius vociferus","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius vociferus"
"Summer Tanager","Piranga rubra","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga rubra"
"Sedge Wren","Cistothorus platensis","species","Passeriformes","Troglodytidae (Wrens)","Cistothorus platensis"
"Mallard","Anas platyrhynchos","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas platyrhynchos"
"Ring-necked Duck","Aythya collaris","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aythya collaris"
"White-tailed Kite","Elanus leucurus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Elanus leucurus"
"Carolina Chickadee","Poecile carolinensis","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile carolinensis"
"Pine Siskin","Spinus pinus","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Spinus pinus"
"Black-throated Gray Warbler","Setophaga nigrescens","species","Passeriformes","Parulidae (New World Warblers)","Setophaga nigrescens"
"Steller's Jay","Cyanocitta stelleri","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Cyanocitta stelleri"
"Mourning Dove","Zenaida macroura","species","Columbiformes","Columbidae (Pigeons and Doves)","Zenaida macroura"
"Brown Pelican","Pelecanus occidentalis","species","Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus occidentalis"
"Tricolored Heron","Egretta tricolor","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Egretta tricolor"
"Eared Grebe","Podiceps nigricollis","species","Podicipediformes","Podicipedidae (Grebes)","Podiceps nigricollis"
"Yellow-throated Warbler","Setophaga dominica","species","Passeriformes","Parulidae (New World Warblers)","Setophaga dominica"
"Yellow-throated Vireo","Vireo flavifrons","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo flavifrons"
"Clark's Grebe","Aechmophorus clarkii","species","Podicipediformes","Podicipedidae (Grebes)","Aechmophorus clarkii"
"White-crowned Sparrow","Zonotrichia leucophrys","issf","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Zonotrichia leucophrys"
"Black-headed Grosbeak","Pheucticus melanocephalus","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Pheucticus melanocephalus"
"Northern Harrier","Circus hudsonius","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Circus hudsonius"
"Rufous Hummingbird","Selasphorus rufus","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Selasphorus rufus"
"Pied-billed Grebe","Podilymbus podiceps","species","Podicipediformes","Podicipedidae (Grebes)","Podilymbus podiceps"
"Herring Gull","Larus argentatus","issf","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus argentatus"
"Greater Roadrunner","Geococcyx californianus","species","Cuculiformes","Cuculidae (Cuckoos)","Geococcyx californianus"
"Mallard (Domestic type)","Anas platyrhynchos (Domestic type)","domestic",NA,NA,NA
"American Crow","Corvus brachyrhynchos","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus brachyrhynchos"
"Surf Scoter","Melanitta perspicillata","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Melanitta perspicillata"
"Cedar Waxwing","Bombycilla cedrorum","species","Passeriformes","Bombycillidae (Waxwings)","Bombycilla cedrorum"
"Savannah Sparrow","Passerculus sandwichensis","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Passerculus sandwichensis"
"Blue-gray Gnatcatcher","Polioptila caerulea","species","Passeriformes","Polioptilidae (Gnatcatchers)","Polioptila caerulea"
"Cerulean Warbler","Setophaga cerulea","species","Passeriformes","Parulidae (New World Warblers)","Setophaga cerulea"
"Cooper's Hawk","Accipiter cooperii","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Accipiter cooperii"
