NAME10,0,Green_Area,12,Open_urban,Low_intensity_Developed,Medium_high_intensity_Developed,Medium_high_intensity_Developed,Open_urban,Green_Area,Green_Area,Green_Area,Green_Area,Agriculture,Agriculture,Agriculture,Green_Area,Green_Area,Total_Green_Area,Total_Agriculture,Total_Open_Urban,Total_Low_Intensity_Developed,Total_Medium_High_Intensity_Developed,Total
Montgomery__AL,0,2846,0,112529,107455,58620,19086,1513,26609,11168,23284,21556,1817,25418,11278,21125,864,107452,38513,114042,107455,77706,445168
North_Port__Port_Charlotte__FL,0,14720,0,152440,103818,37074,7395,222,26,5237,138,2932,1819,407,0,36550,9499,69102,2226,152662,103818,44469,372277
Waldorf__MD,0,1023,0,46491,34292,12462,4094,1433,59649,3981,4811,2401,710,2069,7547,14700,733,87298,10326,47924,34292,16556,196396
Prestonsburg__KY,0,707,0,1582,3228,2472,713,191,3085,21,82,7,615,2560,210,0,0,3902,3385,1773,3228,3185,15473
Port_Jervis__NY__PA,0,828,0,6895,5688,3510,1046,0,7821,522,1892,280,15,287,1632,885,16,12244,1934,6895,5688,4556,31317
High_Point__NC,0,4776,0,95359,84540,35249,14240,37,57294,7097,1378,2119,6297,20761,142,808,199,73671,27200,95396,84540,49489,330296
Florence__AL,0,2046,0,50545,48827,15843,6288,124,16941,2579,3619,5161,2471,17595,6954,2023,0,32369,27020,50669,48827,22131,181016
Nogales__AZ,116,5,0,14068,6463,2972,1277,32,0,0,0,46294,0,89,224,190,210,46699,313,14100,6463,4249,71940
Santa_Clarita__CA,0,23,0,43378,46133,48914,4572,4484,29,331,570,38570,31492,1474,505,79,283,39885,33471,47862,46133,53486,220837
Rio_Vista__CA,0,13,0,1061,1138,2823,558,541,0,0,0,0,1434,1129,450,0,33,46,3013,1602,1138,3381,9180
Spring_Hill__FL,0,1410,0,110108,108103,31115,6077,1139,536,47043,900,11144,2941,7691,32,9769,4470,75272,10664,111247,108103,37192,342478
Idaho_Falls__ID,0,265,0,30333,35653,20828,2345,175,0,0,0,385,1742,2304,34474,26,34,710,38520,30508,35653,23173,128564
Story_City__IA,0,0,0,1257,1362,530,192,0,0,0,0,0,208,0,335,320,0,320,543,1257,1362,722,4204
Elizabethtown__Radcliff__KY,0,919,0,33768,24660,13293,5695,625,46993,1252,283,326,1865,25998,9405,0,0,49773,37268,34393,24660,18988,165082
Presque_Isle__ME,0,31,0,3600,3159,2691,2079,0,458,140,553,269,174,342,1301,761,53,2265,1817,3600,3159,4770,15611
Mountain_Grove__MO,0,14,0,1329,3172,1253,470,30,237,0,25,1,11,1385,0,0,0,277,1396,1359,3172,1723,7927
Bismarck__ND,0,2130,0,22203,31944,21149,6936,69,276,207,104,3,16111,1913,4121,3987,2265,8972,22145,22272,31944,28085,113418
Aumsville__OR,0,54,0,490,956,902,209,0,0,0,0,0,0,598,89,1,0,55,687,490,956,1111,3299
