FID,UACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,UATYP10,ALAND10,AWATER10,Latitude,Longitude,Area
0,58600,400C100US58600,58600,"Montgomery, AL",75,U,397651636.000000000000000,3444695.000000000000000,32.418936401000003,-86.297019161899996,400.681731351000000
1,63838,400C100US63838,63838,"North Port--Port Charlotte, FL",75,U,308980359.000000000000000,25985542.000000000000000,26.990827543900000,-82.123964463700005,335.064792429000020
2,91261,400C100US91261,91261,"Waldorf, MD",75,U,176084046.000000000000000,595783.000000000000000,38.602187547100002,-76.997391285500001,176.773008585000010
3,72208,400C100US72208,72208,"Prestonsburg, KY",76,C,13011716.000000000000000,876619.000000000000000,37.671266580500003,-82.753032493899994,13.936360435799999
4,71209,400C100US71209,71209,"Port Jervis, NY--PA",76,C,27481856.000000000000000,536099.000000000000000,41.366232676999999,-74.727507493100006,28.191058471500000
5,38809,400C100US38809,38809,"High Point, NC",75,U,292999528.000000000000000,4321376.000000000000000,35.941021077000002,-80.012770441399994,297.262072590999990
6,29953,400C100US29953,29953,"Florence, AL",75,U,160919174.000000000000000,2038053.000000000000000,34.797378305999999,-87.627429977999995,162.887495758999990
7,63325,400C100US63325,63325,"Nogales, AZ",76,C,64567027.000000000000000,45233.000000000000000,31.415653965200001,-110.962079127000000,64.781150039699995
8,79309,400C100US79309,79309,"Santa Clarita, CA",75,U,198738464.000000000000000,180351.000000000000000,34.431034323500000,-118.528550862000000,198.761411689999990
9,75097,400C100US75097,75097,"Rio Vista, CA",76,C,8202978.000000000000000,0.000000000000000,38.169605714100001,-121.700304819000000,8.255767994319999
10,84024,400C100US84024,84024,"Spring Hill, FL",75,U,298004335.000000000000000,10280860.000000000000000,28.489810222900001,-82.506546897999996,308.231521664000010
11,39052,400C100US39052,39052,"Hilo, HI",76,C,63624519.000000000000000,182613.000000000000000,19.700451595200001,-155.091570503000010,64.058323669499998
12,40996,400C100US40996,40996,"Idaho Falls, ID",75,U,115256942.000000000000000,562471.000000000000000,43.504052590199997,-112.002325579000000,115.717752676000000
13,85168,400C100US85168,85168,"Story City, IA",76,C,3785673.000000000000000,5179.000000000000000,42.186981325799998,-93.588025126900007,3.771000074790000
14,26750,400C100US26750,26750,"Elizabethtown--Radcliff, KY",75,U,147348498.000000000000000,1296197.000000000000000,37.784146389500002,-85.920141893600004,148.564045435999990
15,72154,400C100US72154,72154,"Presque Isle, ME",76,C,13852267.000000000000000,187910.000000000000000,46.688023750699998,-68.017383474200003,14.051493292100000
16,59653,400C100US59653,59653,"Mountain Grove, MO",76,C,7074091.000000000000000,37400.000000000000000,37.136000663099999,-92.264065615700005,7.121508902350000
17,07921,400C100US07921,07921,"Bismarck, ND",75,U,100290953.000000000000000,1837873.000000000000000,46.824412130200002,-100.818919931000000,102.053085104999990
18,04249,400C100US04249,04249,"Aumsville, OR",76,C,2979856.000000000000000,0.000000000000000,44.844955997699998,-122.864737945000000,2.971739729330000
19,34516,400C100US34516,34516,"Grants Pass, OR",75,U,70440492.000000000000000,742622.000000000000000,42.437341668300000,-123.272936118999990,71.174504643999995
20,20422,400C100US20422,20422,"Corvallis, OR",75,U,54791689.000000000000000,116883.000000000000000,44.578383712300003,-123.305288989999990,54.769234579100001
21,94537,400C100US94537,94537,"West Union, OH",76,C,5531071.000000000000000,0.000000000000000,38.790183990599999,-83.542152181000006,5.576058057420000
22,01927,400C100US01927,01927,"Amarillo, TX",75,U,210395882.000000000000000,1570178.000000000000000,35.204866556100001,-101.837441842000000,211.861003619000000
23,56737,400C100US56737,56737,"Middlebury, VT",76,C,8855328.000000000000000,114769.000000000000000,44.015155612500003,-73.163765519699993,9.001413029300000
24,80686,400C100US80686,80686,"Sequim, WA",76,C,63301208.000000000000000,0.000000000000000,48.097791162599997,-123.138800821999990,63.222893154499999
25,45964,400C100US45964,45964,"Ladysmith, WI",76,C,6829526.000000000000000,710543.000000000000000,45.466187313900001,-91.097449527999999,7.554392054440000
26,22285,400C100US22285,22285,"Daphne--Fairhope, AL",75,U,143100195.000000000000000,595558.000000000000000,30.603140946400000,-87.852261179899998,143.670336342000010
27,71452,400C100US71452,71452,"Port St. Joe, FL",76,C,7487976.000000000000000,2705.000000000000000,29.817305559000001,-85.301114844599994,7.473490797880000
28,00901,400C100US00901,00901,"Albany, GA",75,U,183487054.000000000000000,2790568.000000000000000,31.589917697600001,-84.167877308599998,186.097157282000010
29,27253,400C100US27253,27253,"El Paso, TX--NM",75,U,649129856.000000000000000,3072475.000000000000000,31.797920802000000,-106.399788976000000,652.495161866999980
30,35164,400C100US35164,35164,"Greensboro, NC",75,U,479803590.000000000000000,10880236.000000000000000,36.091570368699998,-79.833921469600000,490.744847508000020
31,06652,400C100US06652,06652,"Bellingham, WA",75,U,124675552.000000000000000,9131300.000000000000000,48.777827608999999,-122.472206986000000,133.933102821000010
